NAME	TITLE	SCORE	
LINC01239	na	2.459637	
HAND2	na	2.45146	
CNDP1	na	2.449263	
PRRG2	na	2.4456544	
FAM180A	na	2.4426308	
LINC02084	na	2.4390244	
ELAVL4-AS1	na	2.4389915	
GREM2	na	2.4386804	
KIAA2012	na	2.4378018	
EHHADH	na	2.436673	
POU6F2-AS1	na	2.429411	
SLC9B2	na	2.4275525	
LOC107985862	na	2.4248712	
MAT1A	na	2.4188695	
SRD5A1	na	2.4175272	
GPM6A	na	2.413384	
LOC105372348	na	2.4115427	
BDH2	na	2.4110546	
RTP3	na	2.403699	
ENO3	na	2.3986006	
HAND2-AS1	na	2.3984258	
MTTP	na	2.3978524	
FGB	na	2.3957977	
KCNK17	na	2.3893304	
TRABD2B	na	2.38699	
HS3ST3A1	na	2.3869417	
CDNF	na	2.3840432	
GPR146	na	2.3832762	
LCAT	na	2.381918	
NRN1	na	2.3785148	
LOC105375373	na	2.3754375	
SYTL5	na	2.3712323	
SOWAHB	na	2.3677964	
ST3GAL1	na	2.3642738	
HGD	na	2.364085	
GPR182	na	2.360866	
ASPDH	na	2.3587117	
SLC17A8	na	2.3584807	
DUSP1	na	2.3583498	
TPRG1	na	2.3577697	
CYP4F2	na	2.3571756	
NADK2	na	2.3531606	
CAT	na	2.3429592	
OLFM1	na	2.33963	
LOC107986570	na	2.3379028	
RIPPLY1	na	2.3374743	
FCGRT	na	2.334523	
TSHR	na	2.3304944	
BOK	na	2.3276472	
CNGA1	na	2.327068	
METTL7A	na	2.3248796	
LOC105377015	na	2.3245735	
TRAV17	na	2.3245735	
KDR	na	2.3172572	
PCK1	na	2.3171284	
FCN2	na	2.314596	
ID2	na	2.310097	
RETREG1	na	2.2947738	
SLC46A3	na	2.2931833	
EFCAB6	na	2.2895136	
LTK	na	2.282277	
SLC2A9-AS1	na	2.2820246	
LOC101928505	na	2.281999	
HMGCLL1	na	2.2752123	
SEPTIN4	na	2.275036	
LOC105378685	na	2.2743356	
YPEL1	na	2.2717423	
CPO	na	2.269149	
RIDA	na	2.266065	
AQP6	na	2.2651696	
LINC00515	na	2.2649732	
LOC105372432	na	2.263436	
BCKDHB	na	2.2621589	
RCL1	na	2.262002	
LOC107984206	na	2.258175	
CFAP57	na	2.251227	
ITGA9	na	2.2480001	
AKR7A3	na	2.2434525	
LOC107984867	na	2.2369483	
LINC00939	na	2.235621	
GLOD5	na	2.2337012	
MASP2	na	2.2254052	
AMDHD1	na	2.2230983	
TRAPPC3L	na	2.2230742	
LDHD	na	2.2227926	
LINC01588	na	2.21643	
FOLH1B	na	2.2158284	
LRCOL1	na	2.2104836	
CYP17A1	na	2.2030709	
LOC105373053	na	2.1961524	
AFM	na	2.1945496	
PDK4	na	2.1923473	
PRSS8	na	2.188984	
LOC105378539	na	2.183142	
ESRP2	na	2.180251	
HMCN2	na	2.1787658	
CR1	na	2.1757846	
MARCO	na	2.169303	
MGMT	na	2.1643715	
TAT-AS1	na	2.1592553	
ECM2	na	2.1591978	
SLC13A5	na	2.1572697	
STEAP4	na	2.1568518	
GNMT	na	2.1559212	
TAT	na	2.1552422	
LOC101928230	na	2.1529574	
SLC25A15	na	2.1506805	
SGMS1-AS1	na	2.1493213	
FAS	na	2.1486487	
LOC102724768	na	2.1476717	
SLC2A2	na	2.1442132	
FBXO40	na	2.1440356	
IGHV3OR16-17	na	2.1440356	
LINC00028	na	2.1440356	
LINC02584	na	2.1440356	
LNCRI	na	2.1440356	
LOC102724780	na	2.1440356	
LOC105378937	na	2.1440356	
LOC112268095	na	2.1440356	
MAB21L1	na	2.1440356	
MNX1	na	2.1440356	
PDE9A-AS1	na	2.1440356	
LOC105370259	na	2.139059	
CYP2C18	na	2.135855	
LPA	na	2.1335845	
UGT2B7	na	2.131929	
TTR	na	2.1313095	
GRAMD1C	na	2.129705	
PRG2	na	2.1287272	
SLC22A1	na	2.1274526	
DRD1	na	2.1265113	
LIFR	na	2.126024	
FAAH	na	2.1251109	
DHRS12	na	2.1243517	
LOC105376184	na	2.1207597	
FUOM	na	2.1160033	
CBFA2T3	na	2.1155806	
ALB	na	2.113484	
LOC105369536	na	2.1132486	
CDC37L1-DT	na	2.1124299	
LOC101928384	na	2.1116397	
GLYATL1	na	2.111086	
PPBP	na	2.1106336	
FBP1	na	2.1097176	
LOC105378575	na	2.098858	
ARID3C	na	2.0985475	
ASL	na	2.0958562	
CYP2C8	na	2.0953794	
ACBD4	na	2.0887856	
ADHFE1	na	2.0873148	
FETUB	na	2.0868247	
LOC102724261	na	2.068401	
LOC107986482	na	2.0638924	
RAB11B-AS1	na	2.0629444	
SLC2A9	na	2.0611029	
RASGRP2	na	2.0592446	
LIPC-AS1	na	2.0587125	
C11orf54	na	2.0536938	
SPRYD4	na	2.052677	
BCO2	na	2.045359	
PARP11-AS1	na	2.045289	
ZNF503-AS1	na	2.0398576	
GATA5	na	2.0382273	
HRG	na	2.0368483	
SRL	na	2.0350835	
GOT2	na	2.028005	
PTPRB	na	2.0274134	
AGBL4	na	2.0270493	
FYB2	na	2.0217345	
LOC105374083	na	2.020726	
LOC107985043	na	2.020726	
MLYCD	na	2.019573	
GPR83	na	2.017304	
TARP	na	2.0172913	
PLG	na	2.0150657	
EXPH5	na	2.012351	
FAM167B	na	2.0115135	
CYB5D2	na	2.0094113	
HAPLN4	na	2.0086741	
CD302	na	2.0086305	
SPATA18	na	2.0082843	
POU6F2	na	2.005693	
AIG1	na	2.005254	
PAH	na	2.0032942	
CABP4	na	1.9996358	
CES4A	na	1.9989954	
HTR2B	na	1.9979727	
FOLH1	na	1.9975982	
SERPING1	na	1.9975938	
DMGDH	na	1.9940867	
TMEM26	na	1.9924471	
LOC105378936	na	1.9824386	
LOC107984079	na	1.9818739	
LOC112268187	na	1.9818515	
TTN-AS1	na	1.9802196	
SYT9	na	1.9789324	
ITLN1	na	1.9775001	
LOC105374016	na	1.9770664	
VSTM2L	na	1.9694332	
LOC105372347	na	1.9684547	
RFPL2	na	1.9684547	
RHOXF1-AS1	na	1.9684547	
FCRL6	na	1.9650187	
GJC3	na	1.964981	
MRO	na	1.9640511	
LINC02747	na	1.96323	
ZMYND12	na	1.9585961	
AADAC	na	1.9582148	
IGHV2-70	na	1.9563562	
SHD	na	1.952376	
PROC	na	1.9504236	
SLC38A4	na	1.9491642	
C7	na	1.945756	
LRAT	na	1.9455717	
TMEM82	na	1.9419947	
APOC3	na	1.9414173	
FXYD6	na	1.9359983	
EVA1A	na	1.9358987	
RAMP3	na	1.9355037	
PNMA8B	na	1.9342798	
FTCD	na	1.9326459	
AASS	na	1.9322195	
HPX	na	1.93214	
LRRC19	na	1.9301438	
CYP4Z1	na	1.9295425	
LINC01900	na	1.9295425	
CADM2	na	1.9277493	
CYP1B1-AS1	na	1.924501	
LOC102724948	na	1.923428	
CCT6B	na	1.915889	
SORL1	na	1.9076805	
NUDT7	na	1.906619	
PEBP1	na	1.9058626	
FAXDC2	na	1.9055405	
ADGRB3	na	1.9049114	
PRAMENP	na	1.9047619	
FGA	na	1.9027287	
C11orf1	na	1.9013896	
LINC01093	na	1.8999649	
LOC105369611	na	1.8995062	
TM6SF2	na	1.8984187	
LINC01595	na	1.897985	
SPIC	na	1.8952615	
ASS1	na	1.8941453	
PLXNA4	na	1.8930959	
AMBP	na	1.8807654	
TEF	na	1.8804935	
MT1X	na	1.8796082	
UST	na	1.8791549	
NKAIN3	na	1.875	
LOC102723654	na	1.8731306	
CAMK4	na	1.8729374	
KCNK5	na	1.8719926	
LRRN3	na	1.8706311	
GABARAPL1	na	1.8686213	
LOC105377862	na	1.863448	
GZMM	na	1.862976	
FAAH2	na	1.8610468	
CRYL1	na	1.8578098	
ZG16	na	1.8546765	
LRRC55	na	1.8543904	
CYP8B1	na	1.8543359	
FERMT2	na	1.854172	
CPS1	na	1.8539522	
SERPINA4	na	1.8539157	
SLC10A1	na	1.853433	
CPN1	na	1.8529881	
LINC01818	na	1.8516923	
CDH19	na	1.8504816	
CYP3A5	na	1.847982	
LOC107986529	na	1.8440368	
PRAP1	na	1.8415723	
KLHDC2	na	1.8354522	
LOC105370841	na	1.8353258	
CPB2	na	1.832457	
PEMT	na	1.8316348	
CD160	na	1.8316019	
SLCO1B3-SLCO1B7	na	1.8314475	
ALDOB	na	1.826026	
MT1L	na	1.8256594	
HIF3A	na	1.8234911	
GSTA2	na	1.8218114	
LOC105377576	na	1.820637	
TEK	na	1.81805	
SCN7A	na	1.8142724	
EOMES	na	1.8137714	
LOC101929372	na	1.8133248	
OVCH1	na	1.8106451	
DPYS	na	1.8083304	
LINC00861	na	1.8075689	
FCN3	na	1.8066401	
COBLL1	na	1.806295	
CLC	na	1.8046919	
CCDC162P	na	1.797132	
GHR	na	1.7967832	
LOC107986697	na	1.7909197	
A1CF	na	1.7899315	
TRDC	na	1.7899027	
ZFP1	na	1.7825154	
SLC1A2	na	1.782493	
TMEM132E	na	1.7824183	
FAM163B	na	1.7761048	
LOC101928126	na	1.7735382	
HEATR4	na	1.7735027	
GPT2	na	1.7709765	
GCDH	na	1.7693446	
TTPA	na	1.7689794	
TCIM	na	1.768122	
CD14	na	1.7670839	
ABCB4	na	1.7626704	
TUSC8	na	1.7623932	
TPTE2P5	na	1.7618011	
SUOX	na	1.7615685	
SLC14A1	na	1.7606837	
LOC107986401	na	1.7573178	
SERPINF2	na	1.7570609	
LOC101928875	na	1.7570052	
MCEE	na	1.7569125	
SLC25A48	na	1.755035	
CRADD	na	1.7549149	
GFRA1	na	1.753497	
CHRM2	na	1.751485	
FENDRR	na	1.7493175	
PLP1	na	1.7487766	
MOGAT2	na	1.7481886	
ACOXL	na	1.743944	
G6PC	na	1.743696	
HOGA1	na	1.7431238	
NMUR1	na	1.7431095	
COL18A1	na	1.7428032	
AKR1D1	na	1.7409154	
NLRP14	na	1.740789	
LINC00649	na	1.7367481	
CNTN1	na	1.7363192	
NTRK3	na	1.7343047	
MYH7B	na	1.7335992	
LINC00470	na	1.7320508	
LIPE-AS1	na	1.7320508	
LOC102725101	na	1.7320508	
LOC105369656	na	1.7320508	
LOC105370765	na	1.7320508	
LOC105377308	na	1.7320508	
LOC105378748	na	1.7320508	
LOC112268231	na	1.7320508	
LRRTM1	na	1.7320508	
METTL21EP	na	1.7320508	
CYP4X1	na	1.7286841	
LOC107985986	na	1.7284808	
GGT5	na	1.7278501	
LOC107984001	na	1.7278143	
TUBE1	na	1.7273108	
LOC102724788	na	1.7256457	
LOC105378776	na	1.7245295	
CCDC179	na	1.7223979	
CRPPA-AS1	na	1.7223979	
LOC107985014	na	1.7192218	
CHRNA4	na	1.7191294	
DBH	na	1.7190517	
ARHGEF7-AS2	na	1.7152284	
CELA1	na	1.7152284	
GRIA1	na	1.7152284	
IGLV3-16	na	1.7152284	
LINC02651	na	1.7152284	
LOC105369509	na	1.7152284	
LOC105373261	na	1.7152284	
LOC105375060	na	1.7152284	
LOC105376958	na	1.7152284	
LOC105377299	na	1.7152284	
LOC105378335	na	1.7152284	
LOC284191	na	1.7152284	
MADD-AS1	na	1.7152284	
MAGEB17	na	1.7152284	
MIR6883	na	1.7152284	
NPPC	na	1.7152284	
OR5AK4P	na	1.7152284	
ROPN1	na	1.7152284	
SLC39A12	na	1.7152284	
LINC01537	na	1.7147262	
MPDZ	na	1.7147248	
RDH16	na	1.7145277	
SEC31B	na	1.7097539	
SLCO1B1	na	1.7072177	
SLC17A1	na	1.7054878	
C5orf64	na	1.705291	
SNORD116-26	na	1.705291	
LOC157273_1	na	1.7050085	
PON1	na	1.7031131	
AQP7	na	1.7026714	
IVD	na	1.6996506	
HNMT	na	1.6985718	
SUCLG2	na	1.6967305	
L1CAM	na	1.6959664	
TCHH	na	1.6955328	
ACE2	na	1.6952437	
ABHD14B	na	1.6942642	
NOSTRIN	na	1.6940703	
GJA4	na	1.6935751	
AMHR2	na	1.6917346	
MAP4K3-DT	na	1.6915888	
LINC01620	na	1.690599	
MEG8	na	1.690599	
ASPA	na	1.6887668	
PRODH2	na	1.6852313	
N4BP2L1	na	1.6849548	
ASTN1	na	1.6846584	
UICLM	na	1.6840832	
HMGCL	na	1.6839713	
CYP3A4	na	1.6839021	
CLEC9A	na	1.6825556	
LOC107984284	na	1.6813284	
LINC01146	na	1.6807623	
LOC107984394	na	1.6806893	
LINC01558	na	1.6794163	
C10orf143	na	1.6788691	
SERPINA1	na	1.676173	
LIPC	na	1.6759429	
GPBAR1	na	1.6745702	
ACAA2	na	1.6731128	
CYGB	na	1.6730494	
ABCA9	na	1.6728542	
ADK	na	1.6713303	
SHISA3	na	1.6697807	
APOF	na	1.6681008	
TMEM220	na	1.6676953	
FGF9	na	1.6666666	
LCN6	na	1.6666666	
LOC105373794	na	1.6666666	
LOC105374639	na	1.6666666	
LOC107986776	na	1.6666666	
PRKG2	na	1.6666666	
LOC101927952	na	1.6666666	
PTGER2	na	1.6660701	
DKK4	na	1.664207	
CHL1	na	1.6640109	
LOC101928347	na	1.6595646	
FTCDNL1	na	1.6580564	
RNASE4	na	1.6549189	
UGT1A1	na	1.6535407	
GBA3	na	1.6497865	
LINC02768	na	1.6495723	
ZNF18	na	1.6493578	
TBXA2R	na	1.6445599	
GRHPR	na	1.6433771	
GNG7	na	1.6420783	
LINC01482	na	1.6402352	
SLC25A20	na	1.6391789	
C16orf95	na	1.6386554	
LINC02580	na	1.6382915	
PANK1	na	1.6378716	
GLTPD2	na	1.6365658	
LOC105377872	na	1.6362046	
SMIM19	na	1.634416	
IL33	na	1.6342248	
ROBO4	na	1.6325958	
TPPP2	na	1.6318882	
NOTUM	na	1.6315795	
LOC101929107	na	1.630641	
SLCO2B1	na	1.6264688	
LOC107986822	na	1.6261921	
SMIM14	na	1.6231244	
PHACTR3	na	1.6230519	
TMEM30B	na	1.6230065	
WNT5B	na	1.6206286	
TCF21	na	1.6174167	
LECT2	na	1.6153489	
PLSCR4	na	1.6153213	
STPG3	na	1.6129032	
AADACP1	na	1.6101013	
DAAM2	na	1.6099454	
PHYHD1	na	1.6095333	
F7	na	1.6093155	
MT1A	na	1.6090212	
CCDC69	na	1.6081747	
LOC105373154	na	1.6076002	
GLYCTK	na	1.607187	
LOC101928143	na	1.60633	
STIM2-AS1	na	1.605369	
NCAM2	na	1.6053543	
ST3GAL6	na	1.6045913	
LOC101928105	na	1.6032889	
LOC105375423	na	1.6001157	
OAT	na	1.59944	
CYP3A43	na	1.5970184	
PGM5	na	1.59516	
RD3L	na	1.5951245	
DNMBP-AS1	na	1.5909902	
SLC25A16	na	1.5889707	
MAP1LC3C	na	1.5877132	
SELP	na	1.5875329	
ROGDI	na	1.5870308	
RBP1	na	1.5854747	
LINC00892	na	1.5843614	
LINC02388	na	1.5840402	
ADRA1A	na	1.5839604	
LOC105372850	na	1.583625	
PDE7B	na	1.5835258	
IGF1	na	1.582363	
LOC101928304	na	1.5811868	
SLCO4C1	na	1.5811721	
PNPLA7	na	1.5809233	
SEC14L2	na	1.5806042	
ANKRD55	na	1.5802047	
TRNC	na	1.5770259	
IGSF10	na	1.5733762	
FGG	na	1.5730922	
GALNTL6	na	1.5717888	
CROCC2	na	1.5714988	
SCN2A	na	1.5713187	
NEURL1	na	1.5692543	
ACSM2A	na	1.568816	
GADD45B	na	1.5671893	
TINAGL1	na	1.5660795	
SARDH	na	1.5637006	
LOC107984205	na	1.5625	
ABCG2	na	1.5611739	
CAVIN2	na	1.5606136	
SLC51A	na	1.560427	
LOC107986528	na	1.5598764	
ITIH4	na	1.5591781	
JAKMIP2	na	1.5576518	
FAM149A	na	1.5564998	
ANO1	na	1.5562766	
NYNRIN	na	1.5538977	
CBLN3	na	1.5538815	
CD300LG	na	1.5528257	
CCDC26	na	1.5527542	
LOC105378690	na	1.5527542	
LOC105378268	na	1.551654	
DIRAS3	na	1.5498189	
BRINP2	na	1.5470054	
LOC105376039	na	1.5470054	
LOC101927536	na	1.5460593	
CA5A	na	1.5459994	
C3P1	na	1.5457414	
RIC3	na	1.5449759	
HEPACAM	na	1.5446533	
CYP4F35P	na	1.5436339	
ETNK2	na	1.542732	
GAS1	na	1.5403101	
NPR1	na	1.5401021	
LOC105379143	na	1.5396007	
MYH3	na	1.5395195	
LOC102723389	na	1.539457	
FNDC5	na	1.5383496	
PHLDA3	na	1.5379066	
HPD	na	1.5374115	
GPER1	na	1.5363197	
LRRC3	na	1.535467	
MICALCL	na	1.5337126	
LOC101927269	na	1.5333862	
ECRG4	na	1.5325637	
FZD8	na	1.5311135	
SPARCL1	na	1.5306823	
PCBD1	na	1.5270303	
CA4	na	1.5259212	
PLD1	na	1.5246361	
EGR2	na	1.5207695	
MEGF10	na	1.5191622	
RDH5	na	1.5177373	
F11	na	1.5159875	
LOC105378576	na	1.51463	
TTC19	na	1.5135542	
IGFALS	na	1.5116409	
LINC00630	na	1.5080479	
LOC107984887	na	1.507188	
LOC105373411	na	1.5061896	
LOC105371566	na	1.506187	
ABCA8	na	1.5060377	
LOC107986287	na	1.5030073	
FLT4	na	1.502707	
F2	na	1.5019948	
LOC101929251	na	1.5001899	
FAM245A	na	1.4984163	
LOC105371675	na	1.4978843	
THSD1	na	1.4974109	
KDF1	na	1.4970394	
IFT46	na	1.4967407	
DCXR	na	1.4948314	
CD81	na	1.4942544	
CDH1	na	1.4919341	
SLC16A2	na	1.4909027	
MPC1	na	1.4855503	
ROBO2	na	1.4852909	
SCN11A	na	1.4848293	
ABCA6	na	1.484258	
KIF19	na	1.4837134	
RBL2	na	1.4834783	
TTC39B	na	1.4824106	
HPR	na	1.4812299	
LOC105372380	na	1.4802036	
LOC105372019	na	1.479274	
TACR2	na	1.479274	
AJAP1	na	1.4775791	
MAGI2-AS3	na	1.4753906	
LINC00402	na	1.4748313	
LDB2	na	1.4728591	
LOC112267879	na	1.4682667	
CYP2J2	na	1.4676447	
ABCG5	na	1.4671077	
NCAM1	na	1.4666014	
P2RY12	na	1.4652169	
C8A	na	1.4648185	
PER1	na	1.4647602	
SLC22A10	na	1.4629376	
LPAL2	na	1.4621358	
RGS6	na	1.4609208	
CCR9	na	1.4609208	
LOC100130587	na	1.4587362	
C1orf210	na	1.4585363	
DCN	na	1.4578975	
SLC18A2	na	1.4571041	
TMEM220-AS1	na	1.4570055	
DPT	na	1.4558566	
COLQ	na	1.4554893	
NR1I3	na	1.4552778	
CHST7	na	1.4516236	
ABAT	na	1.4510499	
TSPAN9	na	1.4499756	
CYP39A1	na	1.4498674	
GNE	na	1.4472419	
LOC102723729	na	1.4433757	
PIPOX	na	1.4415034	
GPHN	na	1.4406818	
ZNF853	na	1.4406056	
EGR1	na	1.4399273	
IGSF23	na	1.4394416	
TSLP	na	1.4390949	
SH3BGRL2	na	1.438593	
MT1G	na	1.4383057	
AK3	na	1.4373837	
ETFRF1	na	1.4362745	
ASGR2	na	1.4346379	
CD40LG	na	1.4331843	
CYP4F3	na	1.4327105	
RIMBP2	na	1.4304272	
CDC14B	na	1.4301955	
LOC105377286	na	1.4293642	
CFI	na	1.4281236	
SMIM24	na	1.4276245	
LINC02646	na	1.4252625	
LOC284865	na	1.4252625	
TNS4	na	1.4252625	
NXN	na	1.4235702	
KLF9	na	1.4219809	
RETSAT	na	1.4216095	
LINC01197	na	1.4185926	
NUDT6	na	1.4153421	
FOSB	na	1.4140056	
PDE11A	na	1.4107261	
LOC105374155	na	1.4101242	
IGFBP3	na	1.409625	
GYG2	na	1.4088527	
EDN2	na	1.407704	
MT1F	na	1.4061761	
TMEM150C	na	1.4056541	
CAPN13	na	1.4056042	
MYT1L	na	1.4056042	
ARID4A	na	1.405158	
LOC105379010	na	1.404978	
LOC105374317	na	1.4038491	
LOC105376159	na	1.4038491	
GALNT15	na	1.4036397	
GCAT	na	1.4022233	
LOC105376294	na	1.4016492	
CYP2B6	na	1.4016284	
ANGPTL3	na	1.401496	
LOC105370615	na	1.4	
TDRD15	na	1.3999406	
FUZ	na	1.399893	
SMAD6	na	1.3995265	
DLG2	na	1.3976979	
CNTN4	na	1.3974111	
TNN	na	1.3962674	
LOC105370000	na	1.3946617	
