gene	liver_448_adjacent_non-tumor_tissue	liver_448_tumor	liver_473_adjacent_non-tumor_tissue	liver_473_tumor	liver_510_adjacent_non-tumor_tissue	liver_510_tumor
ADAM6_1	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	110	89	58	96	56	573
ADAM9	426	838	276	1288	234	2603
ADAM9_1	0	0	0	0	0	0
ADAMDEC1	3	8	4	1	5	227
ADAMTS1	1642	294	391	89	195	316
ADAMTS10	203	113	65	359	42	272
ADAMTS12	117	60	30	25	27	82
ADAMTS12_1	0	0	0	0	0	0
ADAMTS13	0	0	0	0	0	0
ADAMTS13_1	0	0	0	0	0	0
ADAMTS14	1	8	5	14	1	5
ADAMTS15	39	3	12	1	7	2
ADAMTS16	5	1	0	0	1	3
ADAMTS17	94	97	99	36	201	7
ADAMTS18	4	0	2	0	0	0
ADAMTS19	0	0	0	2	1	0
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	714	73	207	26	323	194
ADAMTS20	1	2	0	0	0	11
ADAMTS2_1	0	0	0	0	0	0
ADAMTS3	20	160	8	32	5	9
ADAMTS4	188	266	14	111	31	200
ADAMTS5	277	513	137	84	78	480
ADAMTS6	24	34	10	10	8	80
ADAMTS7	26	76	15	66	27	61
ADAMTS7P1	0	0	0	0	0	0
ADAMTS7P1_1	0	0	0	0	0	0
ADAMTS8	7	5	3	3	1	2
ADAMTS9	161	689	39	97	112	581
ADAMTS9-AS1	8	6	5	1	0	6
ADAMTS9-AS2	19	5	5	1	1	3
ADAMTSL1	35	20	30	8	27	54
ADAMTSL2	706	16	383	1433	410	269
ADAMTSL3	492	239	460	493	471	55
ADAMTSL4	296	493	465	123	483	331
ADAMTSL4-AS1	4	3	4	2	2	3
ADAMTSL4-AS2	2	3	2	3	1	4
ADAMTSL5	37	77	25	56	21	14
ADAP1	111	33	45	13	77	44
ADAP2	356	282	300	320	815	769
ADAR	1111	4709	1213	6132	3150	4244
ADARB1	237	196	172	399	169	229
ADARB2	6	0	15	0	1	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	259	318	264	347	241	596
ADAT2	89	96	87	190	72	194
ADAT3	18	31	15	34	17	86
ADCK1	51	87	57	70	57	177
ADCK2	231	883	183	725	264	1058
ADCK5	0	0	0	0	0	0
ADCK5_1	0	0	0	0	0	0
ADCY1	399	275	768	730	1238	11
ADCY10	56	148	114	72	84	8
ADCY10P1	35	12	32	17	11	17
ADCY2	3	0	0	0	0	0
ADCY3	128	573	65	130	63	136
ADCY4	0	0	0	0	0	0
ADCY4_1	0	0	0	0	0	0
ADCY5	162	202	107	66	115	143
ADCY6	159	665	136	468	120	258
ADCY6-DT	5	25	7	13	9	3
ADCY7	78	89	89	100	154	429
ADCY8	30	0	1	0	0	0
ADCY9	776	1802	708	731	830	703
ADCYAP1	12	3	4	2	0	6
ADCYAP1R1	3	4	0	2	2	0
ADD1	1869	2405	1643	3845	1861	2466
ADD2	13	20	8	0	16	6
ADD3	1335	1022	709	129	500	1460
ADD3-AS1	5	2	0	0	0	0
ADGB	0	0	0	0	0	21
ADGRA1	27	0	14	0	15	0
ADGRA1-AS1	2	0	0	0	0	0
ADGRA2	340	115	159	66	132	177
ADGRA3	1177	1102	1762	1498	2623	664
ADGRB1	9	34	6	923	1	3
ADGRB2	7	71	2	10	0	1
ADGRB3	30	3	13	0	19	1
ADGRD1	173	7	84	1136	83	32
ADGRD1-AS1	0	0	0	1	0	0
ADGRD2	0	0	0	0	0	0
ADGRE1	54	11	91	8	196	24
ADGRE2	64	63	38	18	130	360
ADGRE3	11	2	3	0	2	27
ADGRE4P	21	5	20	6	22	31
ADGRE5	542	701	359	496	586	2334
ADGRF1	15	0	4	0	0	0
ADGRF2	0	0	0	0	0	1
ADGRF3	6	21	5	5	3	1
ADGRF4	0	0	0	0	0	2
ADGRF5	615	424	416	199	783	933
ADGRF5-AS1	0	1	0	0	0	3
ADGRG1	170	77	52	81	80	81
ADGRG2	18	78	33	603	9	5
ADGRG3	12	4	3	67	18	108
ADGRG4	0	0	0	0	0	0
ADGRG5	29	18	19	58	8	32
ADGRG6	3096	1414	3222	3153	3132	2827
ADGRG7	305	115	342	11	924	20
ADGRL1	0	0	0	0	0	0
ADGRL1_1	0	0	0	0	0	0
ADGRL2	1504	3701	1375	1181	1655	1638
ADGRL3	26	9	23	1	5	4
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	466	330	280	172	436	346
ADGRV1	231	132	315	202	522	1177
ADH1A	20947	877	24023	152	14325	210
ADH1B	78076	1191	107639	685	110425	527
ADH1C	18850	917	27344	1405	23082	133
ADH4	59838	113	85794	57	53506	107
ADH5	2250	1715	2517	1272	2829	1701
ADH6	8989	1084	15496	691	12049	157
ADH7	5	3	3	0	5	0
ADHFE1	611	276	1044	262	1122	205
ADI1	1478	1573	1928	903	1875	371
ADI1_1	0	0	0	0	0	0
ADIG	0	1	1	5	0	0
ADIPOQ	0	0	0	0	2	0
ADIPOQ-AS1	0	0	0	0	0	0
ADIPOR1	1860	4277	1639	7268	2225	5508
ADIPOR2	0	0	0	0	0	0
ADIPOR2_1	0	0	0	0	0	0
ADIRF	72	143	76	1	86	6
ADK	1623	939	1880	425	2251	955
ADM	212	1025	104	150	297	863
ADM2	8	23	9	131	19	171
ADM5	7	3	3	0	4	7
ADNP	1056	2526	979	2231	851	2214
ADNP-AS1	6	15	7	13	4	10
ADNP2	291	882	160	911	209	904
ADO	371	390	255	634	222	420
ADORA1	73	70	12	1287	9	4
ADORA2A	1	8	4	19	1	0
ADORA2A-AS1	215	320	391	499	365	91
ADORA2B	24	47	20	11	12	134
ADORA3	39	34	34	56	33	302
ADPGK	437	697	333	465	389	1186
ADPGK-AS1	2	4	1	0	2	2
ADPRH	123	286	68	108	110	458
ADPRHL1	18	28	12	255	28	57
ADPRM	103	83	113	93	96	81
ADPRS	188	539	151	217	245	723
ADRA1A	1526	800	2584	73	3457	5
ADRA1B	204	306	188	199	136	27
ADRA1D	0	2	1	2	0	0
ADRA2A	150	35	68	5	8	2
ADRA2B	40	19	109	22	140	4
ADRA2C	33	16	14	7	4	4
ADRB1	34	4	9	6	6	5
ADRB2	156	115	129	68	124	23
ADRB3	0	0	1	0	0	0
ADRM1	695	2054	692	1440	822	1833
ADSL	462	925	581	1351	560	1302
ADSS1	313	789	300	252	260	353
ADSS2	596	905	362	2560	364	1912
ADTRP	5	3	0	2	5	148
AEBP1	1703	89	492	55	323	911
AEBP2	375	637	276	787	215	626
AEN	248	473	263	210	240	901
AFAP1	196	132	100	290	72	146
AFAP1-AS1	2	0	0	10	0	174
AFAP1L1	197	478	150	102	162	604
AFAP1L2	78	37	48	26	43	44
AFDN	3596	3499	2155	2945	2032	4423
AFDN-DT	32	12	15	19	24	31
AFF1	1200	1496	1129	709	1023	4822
AFF1-AS1	43	34	26	10	16	65
AFF2	4	42	2	35	0	6
AFF3	161	130	138	279	62	868
AFF4	2213	4026	2063	2653	1877	2323
AFG1L	86	98	62	88	84	205
AFG3L1P	73	57	54	77	43	128
AFG3L2	777	1878	692	1142	818	2207
AFM	12312	1223	15280	372	7213	1755
AFMID	1097	1311	1293	705	1422	1296
AFP	182	112	156	35	121	116
AFTPH	1082	1786	851	1660	780	1279
AGA	497	423	330	416	300	420
AGAP1	209	1207	168	521	139	823
AGAP1-IT1	27	10	6	7	4	21
AGAP10P	0	0	0	0	0	0
AGAP11	9	31	9	0	2	0
AGAP12P	0	0	0	0	0	0
AGAP12P_1	0	0	0	0	0	0
AGAP13P	2	1	1	1	0	1
AGAP14P	0	0	0	0	0	0
AGAP2	30	43	36	29	35	75
AGAP2-AS1	13	10	1	1	4	3
AGAP3	537	1292	512	1079	438	1326
AGAP4	2	0	1	1	0	0
AGAP5	0	0	1	0	1	1
AGAP6	0	2	2	6	2	0
AGAP7P	1	1	0	2	0	0
AGAP9	0	0	0	0	0	0
AGBL1	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	0	0	0	0	0	0
AGBL2_1	0	0	0	0	0	0
AGBL3	104	101	45	104	52	162
AGBL4	18	0	16	1	35	1
AGBL4-AS1	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	220	659	186	533	180	207
AGBL5-AS1	0	1	0	0	1	0
AGER	0	0	0	0	0	0
AGER_1	0	0	0	0	0	0
AGER_2	0	0	0	0	0	0
AGER_3	0	0	0	0	0	0
AGER_4	0	0	0	0	0	0
AGER_5	0	0	0	0	0	0
AGER_6	0	0	0	0	0	0
AGFG1	931	4340	647	1129	763	3941
AGFG2	1129	2258	1264	1472	1105	2140
AGGF1	606	1353	545	1136	497	1173
AGK	31	105	26	98	37	98
AGK_1	0	0	0	0	0	0
AGL	1552	6154	2454	1706	960	584
AGMAT	1692	3140	1932	1082	1851	1383
AGMO	1619	1131	1699	618	1694	544
AGO1	428	986	433	322	374	751
AGO2	407	1588	275	1091	187	1898
AGO3	371	637	278	191	210	771
AGO4	486	473	414	423	350	714
AGPAT1	10	28	5	67	0	0
AGPAT1_1	0	0	0	0	0	0
AGPAT1_2	0	0	0	0	0	0
AGPAT1_3	0	0	0	0	0	0
AGPAT1_4	0	0	0	0	0	0
AGPAT1_5	0	0	0	0	0	0
AGPAT1_6	0	0	0	0	0	0
AGPAT2	1716	2732	1245	839	2650	1741
AGPAT3	1958	4301	1984	2921	2600	2569
AGPAT4	82	190	31	382	15	525
AGPAT4-IT1	1	1	1	4	0	1
AGPAT5	0	0	0	0	0	0
AGPAT5_1	0	0	0	0	0	0
AGPS	1080	1376	922	1426	788	3890
AGR2	50	1	57	1	8	723
AGR3	6	0	7	0	0	0
AGRN	1922	1151	884	1102	1074	2514
AGRP	0	1	2	10	0	0
AGT	18109	55605	23823	66351	34769	62437
AGTPBP1	265	403	120	523	146	838
AGTR1	1435	1179	1272	258	816	103
AGTR2	0	0	1	0	0	0
AGTRAP	187	524	89	353	355	833
AGXT	18780	13256	19940	9576	25915	2602
AGXT2	996	1069	1535	73	2854	10
AHCTF1	385	1171	344	2059	259	1244
AHCTF1P1	72	365	93	527	74	430
AHCY	3319	3709	3927	3131	2788	3170
AHCYL1	2164	6274	2165	4130	2131	4927
AHCYL2	350	643	271	361	255	824
AHDC1	348	296	250	298	141	190
AHI1	349	278	215	439	145	705
AHNAK	9334	12556	5287	6874	3669	13521
AHNAK2	19	128	11	327	15	138
AHR	1993	1802	2149	616	1281	2566
AHRR	0	1	0	0	0	0
AHSA1	699	1172	830	1448	731	2803
AHSA2P	477	570	273	322	247	380
AHSG	86948	39690	76546	6315	34153	127
AHSP	1	0	0	0	0	0
AICDA	0	0	0	0	0	1
AIDA	107	290	105	392	85	384
AIF1	0	0	0	0	0	0
AIF1L	134	64	55	66	38	35
AIF1_1	0	0	0	0	0	0
AIF1_2	1	1	1	0	3	3
AIF1_3	0	0	0	0	0	0
AIF1_4	0	0	0	0	0	0
AIF1_5	0	0	0	0	0	0
AIFM1	1571	1969	1784	2023	1979	2305
AIFM2	297	843	243	426	307	459
AIFM3	14	27	12	19	11	6
AIG1	3200	974	3245	1232	3139	1610
AIM2	8	24	20	8	105	87
AIMP1	796	1040	639	922	567	1117
AIMP2	120	358	178	318	193	407
AIP	449	515	380	486	388	501
AIPL1	0	0	0	0	0	0
AIRE	0	0	0	1	0	2
AIRN	1	4	2	0	0	1
AJAP1	12	1	9	2	5	3
AJM1	9	43	4	24	3	30
AJUBA	917	853	408	1118	277	2095
AK1	391	906	318	898	350	617
AK2	1419	2746	1620	1428	2147	2922
AK3	4038	1480	3410	1646	3304	2406
AK4	2317	8779	2493	422	2328	1409
AK5	7	4	5	4	0	4
AK6	0	0	0	0	0	0
AK6_1	0	0	0	0	0	0
AK7	69	13	18	11	26	62
AK8	2	8	4	3	4	2
AK9	69	30	64	55	60	99
AKAIN1	3	1	1	0	3	0
AKAP1	1227	2847	1623	3226	1680	1868
AKAP10	267	267	247	392	246	400
AKAP11	856	803	566	526	439	1662
AKAP12	797	2778	650	462	656	411
AKAP13	2041	2103	1480	949	1857	2530
AKAP14	0	1	0	0	0	0
AKAP17A	0	0	0	0	0	0
AKAP17A_1	0	0	0	0	0	0
AKAP3	25	7	23	12	38	20
AKAP4	0	0	0	0	0	0
AKAP5	70	69	45	79	18	68
AKAP6	94	56	96	77	111	273
AKAP7	789	383	353	351	281	624
AKAP8	256	661	233	418	257	636
AKAP8L	347	871	341	766	358	1063
AKAP9	5057	4054	3906	5140	3288	3957
AKIP1	123	489	90	401	125	549
AKIRIN1	1098	1682	680	721	760	2401
AKIRIN2	588	454	409	676	511	875
AKNA	461	335	328	257	323	1077
AKNAD1	0	0	0	0	0	3
AKR1A1	2105	5680	2800	2118	3353	3251
AKR1B1	336	767	153	162	300	506
AKR1B10	236	43184	29	2283	0	8469
AKR1B15	1	364	1	56	0	120
AKR1C1	6048	41621	4187	528	3597	20660
AKR1C2	1960	18759	1617	661	1731	2518
AKR1C3	1387	21313	2075	3500	1747	37337
AKR1C4	5174	5931	5780	268	4588	12582
AKR1C6P	118	74	131	1	59	2
AKR1C8P	51	50	66	2	76	20
AKR1D1	3861	893	6293	11	7191	2064
AKR1E2	16	18	9	4	14	28
AKR7A2	598	1161	746	866	658	710
AKR7A2P1	0	0	0	0	0	0
AKR7A2P1_1	0	0	0	0	0	0
AKR7A3	1873	619	2875	712	2282	104
AKR7L	254	245	279	160	134	14
AKT1	792	857	1078	959	1146	1616
AKT1S1	456	1154	419	761	476	1047
AKT2	1296	2372	1491	1737	2110	1895
AKT3	0	0	0	0	0	0
AKT3_1	0	0	0	0	0	0
AKTIP	237	253	210	165	227	458
ALAD	3581	3800	4384	2747	4966	1398
ALAS1	4661	6293	5051	2160	3636	1361
ALAS2	2	1	0	1	2	0
ALB	2476053	176630	3519249	650486	1899792	330840
ALCAM	2190	3169	1471	3210	1232	1936
ALDH16A1	301	250	303	331	379	612
ALDH18A1	500	1387	442	1629	536	2484
ALDH1A1	23337	76857	21239	8506	12898	21462
ALDH1A2	99	122	57	3	39	27
ALDH1A3	79	18	31	0	29	51
ALDH1B1	2639	2066	4135	2517	4042	5242
ALDH1L1	4797	4626	8399	509	9701	247
ALDH1L1-AS1	2	6	3	0	4	0
